10.88, 13.78, -2259.01, -14873.63, -5233.36, 41.81, 5272.07, 567.41, -1697.73, -1409.99, 612.93, 595.63, -485.59, -306.02
10.88, 15.42, -2525.84, -14922.67, -5207.98, 311.55, 5282.63, 114.58, -1851.55, -1150.18, 709.75, 524.38, -562.55, -165.65
10.88, 14.61, -2283.95, -14841.76, -5244.21, 86.41, 5323.92, 539.67, -1830.54, -1351.04, 686.83, 681.81, -526.74, -261.45
10.96, 13.26, -2723.31, -14815.85, -5178.56, 601.38, 5299.42, -305.21, -1983.90, -923.25, 816.35, 418.06, -615.68, -98.20
11.12, 13.97, -2334.06, -14861.01, -5202.63, 107.54, 5319.09, 485.40, -1739.64, -1352.29, 630.51, 638.08, -492.39, -226.59
10.81, 13.98, -2235.37, -14869.66, -5175.15, 57.02, 5358.68, 547.92, -1707.12, -1422.56, 608.73, 632.14, -507.66, -266.53
10.96, 14.08, -2590.76, -14853.06, -5198.13, 413.64, 5301.61, -51.18, -1903.67, -1075.60, 768.47, 453.26, -581.94, -152.95
10.96, 14.57, -2463.01, -14851.16, -5202.80, 287.40, 5338.91, 177.76, -1843.17, -1189.08, 720.18, 556.68, -558.90, -205.98
10.96, 14.19, -2238.95, -14834.27, -5258.04, -16.53, 5281.78, 596.71, -1714.33, -1413.45, 669.86, 616.90, -523.34, -314.51
10.88, 13.80, -2350.37, -14869.18, -5235.82, 190.00, 5214.89, 301.98, -1784.36, -1207.05, 670.55, 554.71, -529.61, -215.45
11.04, 13.67, -2074.65, -14896.75, -5213.14, -112.27, 5232.25, 930.88, -1596.47, -1492.50, 544.09, 688.66, -490.96, -311.52
10.88, 14.14, -2533.60, -14814.29, -5184.64, 368.19, 5285.27, 108.02, -1843.04, -1137.96, 707.79, 512.41, -565.68, -160.71
10.96, 13.62, -2500.00, -14872.13, -5252.52, 265.92, 5307.79, 303.65, -1867.91, -1215.17, 710.37, 623.58, -538.00, -193.07
10.81, 14.67, -2372.45, -14862.69, -5205.63, 196.01, 5268.70, 303.07, -1806.16, -1231.51, 703.53, 573.61, -563.40, -230.60
10.88, 15.21, -2386.98, -14826.25, -5225.70, 134.08, 5275.35, 363.14, -1794.86, -1271.87, 704.53, 625.92, -541.18, -286.01
